String,es,en,fr,jp,hi
_PATRICIO_LEYENDA_,"El bien ponderado patricio que ataca con precisión al enemigo.\nTarda en recargar, sino seria un escándalo.","Your basic infantry who strikes with precision.\nSlow to load, otherwise he'd be broken.",,,"तुम्हारा बुनियादी पैदल सैनिक, जो सटीक वार करता है।\nरीलोड करने में धीमा है, वरना बहुत ज़्यादा ताकतवर हो जाता।"
_CORRENTINO_,Correntino,Correntino,,,कोर्रेंटीनो
_CORRENTINO_LEYENDA_,"Tira de lejos cual cazador de ñandú.\nCamina lento, pero si pega... pega.\nEso si, le pegan una y adiós.","Sharpshooter from the northeast.\nWalks slowly, hits hard.\nGlass cannon, though.",,,"उत्तर-पूर्व का निशानेबाज़।\nधीरे चलता है, जोर से मारता है।\nहाँ, काँच की तोप जैसा है।"
_ARRIBENO_,Arribeño,Arribeño,,,अर्रीबेञो
_ARRIBENO_LEYENDA_,¿Tenés escopeta? \nTengo escopeta. \nAgarrate fuerte que los de Arriba van con perdigones de plomo.,¿Have gun? Will travel. \nThe Arribeño will mow enemies down\n with his blunderbuss.,,,बंदूक है? तो सफर है। \nअर्रीबेञो अपनी ब्लंडरबस से\nदुश्मनों को साफ कर देगा।
_MORENO_,Moreno,Moreno,,,मोरेनो
_MORENO_LEYENDA_,Fiel y aguantador como pocos. \nLanza granadas hacia donde diga el general. \n ,"¿Surprised? Tough and brave, \nthe Moreno will thow grenades\nat whatever the General\nis pointing to.",,,"हैरान हो? मजबूत और बहादुर, \nमोरेनो वहीं ग्रेनेड फेंकेगा\nजहाँ जनरल इशारा करेगा।"
_CEBADOR_,Cebador,Cebador,,,सेबादोर
_CEBADOR_LEYENDA_,"No es el aguatero, es el cebador de mates. \nTe mantiene con vida en esos momentos. \nAmargo, el mate. Bueno, el tambien.","He brews mate, \nkeeping the General alive,\nin tough times. \nStrong and bitter.",,,"वह माते बनाता है, \nमुश्किल घड़ियों में\nजनरल को जिंदा रखता है। \nकड़क और कड़वा।"
_MIGNON_,Miñon,Miñón,,,मिन्यों
_MIGNON_LEYENDA_,"No es la palomita de Ginobili, pero... \nCon este doblete les pasamos factura!",Double up on the shoot 'em up!\nNot the best at taking hits\nbut it's a 2x1 sale!,,,"शूट-एम-अप को डबल करो!\nमार खाने में सबसे अच्छा नहीं,\nलेकिन यह 2x1 ऑफर है!"
_PARDO_,Pardo,Pardo,,,पार्दो
_PARDO_LEYENDA_,Al compás del tamboril! \nUna dosis de adrenalina permanente.,Keep the rythim up! \nMakes everyone walk\nin double time.,,,लय बनाए रखो! \nसबको दोगुनी रफ्तार से\nचलने पर मजबूर करता है।
_MATE_,Matecito,Mate,,,माते
_MATE_LEYENDA_,"El general se toma unos verdes y recupera la vida. \nEso si, me dijeron que lo toma amargo.",The general sips his green brew and recovers life.\nBitter is better.,,,जनरल अपनी हरी चुस्की लेता है और जीवन वापस पाता है।\nकड़वा ही बेहतर है।
_HUSARES_INFERNALES_,Husares infernales,Infernal Hussars,,,नारकीय हुसार
_HUSARES_INFERNALES_LEYENDA_,Estos jinetes desataran un infierno de balas sobre los ingleses. \n(¡Ojo! Pasan una vez y chau pinola),"They will unleash Hell on Earth\n Careful, their charge is a one and done.",,,"वे धरती पर नर्क बरसा देंगे।\nसावधान, उनकी चार्ज बस एक बार की है।"
_MANUELA_,Manuela,Manuela,,,मैनुएला
_MANUELA_LEYENDA_,A sablazos morirán los ingleses \n¡Lo que pueden las mujeres despechadas!,They really shouldn't have\n messed with her husband,,,उन्हें सच में\nउसके पति से पंगा नहीं लेना चाहिए था।
_SUDESTADA_,Sudestada,Sudestada,,,सुदेस्तादा
_SUDESTADA_LEYENDA_,"Viento del sur, lluvia constante.\nLentitos los ingleses en el barro...",Strong wind from the south. \nConstant rain \nThe English should feel right at home \nstuck in the mud.,,,दक्षिण से तेज हवा। \nलगातार बारिश। \nकीचड़ में फँसे अंग्रेज़ों को\nघर जैसा लगेगा।
_TEDEUM_,Te Deum de la Catedral,Cathedral Te Deum,,,कैथेड्रल ते देउम
_TEDEUM_LEYENDA_,Vamos a decir que la iglesia nos dio una mano... \n¡Ah no! ¡Eso fue el pelusa!,We pray to the heavens \n to ask for a Hand of God.,,,हम आसमान से प्रार्थना करते हैं\nताकि भगवान का हाथ मदद करे।
_DEFENDA_DE_OBLIGADO_,Defensa de Obligado,Defense of Obligado,,,ओब्लिगादो की रक्षा
_DEFENDA_DE_OBLIGADO_LEYENDA_,Sin cadenas sobre los pies... \nPero si protegiendo la plaza!,No chains around our necks...\nbut protecting the Plaza instead!,,,हमारी गर्दन में जंजीरें नहीं...\nबल्कि प्लाज़ा की रक्षा!
_PATRICIO_SOLARI_,Patricio Solari,Patricio Solari,,,पैट्रीसियो सोलारी
_PATRICIO_SOLARI_LEYENDA_,Se viene el pogo mas grande del mundo! \nY los ingleses no van a entender que les paso.,Biggest mosh pit in the world \nAnd the Brits won't know what hit them.,,,दुनिया का सबसे बड़ा मॉश पिट।\nऔर ब्रिट्स को पता भी नहीं चलेगा कि क्या हुआ।
_PUEBLO_EN_ARMAS_,El pueblo en armas,A people in arms,,,हथियारबंद जनता
_PUEBLO_EN_ARMAS_LEYENDA_,Y un buen dia las cacerolas del pueblo entraron en vigor sobre Buenos Aires... ,People's pots and pans thundered for justice!,,,न्याय के लिए जनता के बर्तन और कड़ाहियाँ गरज उठीं!
_BARRILETE_COSMICO_,Barrilete cosmico,Cosmic Kite,,,कॉस्मिक काइट
_BARRILETE_COSMICO_LEYENDA_,"El general es poseído temporalmente por Pelusa. \n Si hay ingleses, él los gambetea y ellos caen al piso.",Be possesed by the person that would humilliate the english on the pitch \nDribble around em till their ankles break!,,,उस व्यक्ति की आत्मा से घिर जाओ\nजो मैदान पर अंग्रेज़ों को शर्मिंदा करता।\nउन्हें ड्रिबल करके गिरा दो!
_CARTAS_,Cartas,Cards,,,कार्ड
_AVISO_CARTAS_MINIMAS_,Debe haber mínimo 20 cartas para destruir una.,There must be at least 20 cards in order to destroy one.,,,एक कार्ड नष्ट करने के लिए कम से कम 20 कार्ड होने चाहिए।
_VICTORIA_,¡VICTORIA!,VICTORY!,,,विजय!
_SEGUINOS_EN_STEAM_,Seguinos en Steam,Follow us on Steam,,,Steam पर हमें फ़ॉलो करें
_REINICIAR_,Volver a jugar,Replay,,,फिर से खेलें
_SEGUINOS_EN_STEAM_LEYENDA_,Sos el defensor que la patria necesita.  Agregá La Furia de Las Trenzas a tu lista de deseos en Steam para seguir masacrando ingleses. El Diego lo haría.\nBuscanos en Steam o scanneá este QR con tu celular.,You're the defender this nation needs. Add La Furia de las Trenzas to your wishlist on Steam to keep slaughtering the british. El Diego would do it. \nLook us up on Steam or scan this QR code ,,,तुम वही रक्षक हो जिसकी इस राष्ट्र को जरूरत है। अंग्रेज़ों का संहार जारी रखने के लिए La Furia de las Trenzas को अपनी Steam विशलिस्ट में जोड़ो। एल डिएगो ऐसा करता।\nहमें Steam पर खोजो या यह QR कोड स्कैन करो।
_GANASTE_SOBRE_,¡!!Ganaste un \nsobrecito!!,You've earned\na Booster Pack!,,,तुमने\nबूस्टर पैक जीता!
_CONQUERED_,CONQUERED,CONQUERED \n(brittish accent),,,जीत लिया गया\n(ब्रिटिश लहजे में)
_GAMEOVER_SEGUINOS_EN_STEAM_LEYENDA_,¿Vas a dejar que esto quede así? Agregá La Furia de Las Trenzas a tu lista de deseos en Steam para vengarte de los ingleses. El Diego lo haría.\nBuscanos en Steam o scanneá este QR con tu celular.,You're gonna leave it as this? Add La Furia de las Trenzas to your wishlist on Steam to get revenge on the british. El Diego would do it. \n Look us up on Steam or scan this QR code ,,,क्या तुम इसे ऐसे ही छोड़ दोगे? अंग्रेज़ों से बदला लेने के लिए La Furia de las Trenzas को अपनी Steam विशलिस्ट में जोड़ो। एल डिएगो ऐसा करता।\nहमें Steam पर खोजो या यह QR कोड स्कैन करो।
_REINTENTAR_,Reintentar,Retry,,,फिर कोशिश करें
_GAMEOVER_GANASTE_SOBRE_,Igual te damos \nun sobrecito...,You still get \na booster pack.,,,फिर भी तुम्हें\nएक बूस्टर पैक मिलता है।
_SURUBI_MENSAJE_INICIAL_1_,Ahí vienen!! __ Corran por sus vidas!!! PANIC,The British are coming!! __ The British are coming!!! PANIC,,,ब्रिटिश आ रहे हैं!! __ ब्रिटिश आ रहे हैं!!! PANIC
_SURUBI_MENSAJE_INICIAL_2_,Estos vienen por el té? __ TE voy a dar!!! PANIC,Do we have any tea left?__ Throw it into the river!!! PANIC,,,क्या हमारे पास चाय बची है?__ उसे नदी में फेंक दो!!! PANIC
_SURUBI_MENSAJE_INICIAL_3_,Invasión? __ FMI __ TODO LO MISMO PANIC,Invasion?__IMF?__It's all the same!!! PANIC,,,आक्रमण?__IMF?__सब एक ही बात है!!! PANIC
_SURUBI_MENSAJE_INICIAL_4_,¿Qué hacen acá?__ Yankilandia queda pal otro lado!!! PANIC,Why are they even here? /nAustralia is THAT way!!! PANIC,,,ये यहाँ कर क्या रहे हैं? /nऑस्ट्रेलिया तो उस तरफ है!!! PANIC
_SURUBI_TEDEUM_1_,Ya lo dijo Francisco... __ HAGAN LÍO! PANIC,Like the pope said...__Make some noise! PANIC,,,जैसा पोप ने कहा था...__शोर मचाओ! PANIC
_SURUBI_TEDEUM_2_,"Ay, diosito santo... __ bajamela del cielo.","Oh lord, dear lord!__HELP ME LORD PANIC",,,"हे प्रभु, प्यारे प्रभु!__मेरी मदद करो प्रभु PANIC"
_SURUBI_TEDEUM_3_,"Arranca el genio... __ Ah, no... ese era otro. __ Ehm...__ Sí, DIOS, AYUDAAAA! PANIC",SMITE 'EM PANIC,,,इन्हें राख कर दो PANIC
_SURUBI_SUDESTADA_1_,"Miau, miau, miau... __ Miau, miaaaaaauuu __ Llueve sobre mojado! PANIC",A flood now? /nLET ME AT 'EM! PANIC,,,अब बाढ़ भी? /nमुझे इन पर टूट पड़ने दो! PANIC
_SURUBI_SUDESTADA_2_,MABEEEEELLL PANIC __ Hay que entrar la ropa!!,I LEFT MY LAUNDRY OUT!!! PANIC,,,मैंने कपड़े बाहर छोड़ दिए!!! PANIC
_SURUBI_SUDESTADA_3_,Se sigue inundando ¿No? __ Odio los gatos y gatitos. PANIC,It's still flooding isn't it? /nCats always lying to me PANIC,,,"अभी भी बाढ़ आ रही है, है ना? /nबिल्लियाँ हमेशा मुझसे झूठ बोलती हैं PANIC"
_SURUBI_PATRICIO_SOLARI_1_,No nos daba la guita __ para poner ESA canción __ Aguante lo redo! PANIC,We cannot afford __ the song we want to __ so this is TUPAC! PANIC,,,हम अपनी पसंद का गाना __ खरीद नहीं सकते __ तो यह TUPAC है! PANIC
_SURUBI_PATRICIO_SOLARI_2_,O pogo mais grande __ DU MUNDU __ Bolinho da ricota! PANIC,O pogo mais grande __ DU MUNDU __ Bolinho da ricota! PANIC,,,O pogo mais grande __ DU MUNDU __ Bolinho da ricota! PANIC
_SURUBI_PATRICIO_SOLARI_3_,JAJAJA__ JEJEJE__ piiiiiiii PANIC__ JOJOJO__JUJUJU,Indio Solari Olavarria 2017__ just Google it.PANIC,,,इंदियो सोलारी ओलावरिया 2017__ बस Google कर लो।PANIC
_SURUBI_TUTORIAL_1_,¡Defende esa bandera! __ Liniers dispara solo... __ ¡Movete!,Protect that flag! __ Liniers shoots by himself... __ Get moving!,,,"उस झंडे की रक्षा करो! __ लिनियर्स खुद गोली चलाता है... __ चलो, हिलो!"
_SUBISTE_NIVEL_,¡Subiste de nivel!,Level up!,,,लेवल अप!
_QUE_JUGAS_,¿Qué carta jugás che?,Which card do you pick?,,,कौन सा कार्ड चुनोगे?
_PAUSA_,Pausa,Pause,,,विराम
_IDIOMA_,Idioma,Language,,,भाषा
_ENTER_PARA_SALTEAR_,Enter para continuar...,Press enter to continue...,,,जारी रखने के लिए Enter दबाएँ...
_GANASTE_SOBRE_DEMO_,"Ganaste cartas, pero esto es una demo (muack).","You won cards, but this is a demo.",,,"तुमने कार्ड जीते, लेकिन यह एक डेमो है।"
_EL_ASALTO_ESCARLATA_,El asalto escarlata,Scarlet Attackson,,,स्कारलेट अटैकसन
_LA_MARCHA_DE_LOS_INMORTALES_,La Marcha de los Inmortales,The march of the immortals,,,अमर योद्धाओं की मार्च
_VIENTO_OESTE_,Viento Oeste,West wind,,,पश्चिमी हवा
_VIENTO_ESTE_,Viento Este,East wind,,,पूर्वी हवा
_ALTA_PROBABILIDAD_DE_LLUVIAS_,Alta probabilidad de lluvias,It's raining lead...,,,सीसे की बारिश हो रही है...
_LOS_INMORTALES_CONTRAATACAN_,Los Inmortales Contraatacan,Immortals strikes back,,,अमर योद्धा पलटवार करते हैं
_BANDERA_DE_PIRATA_,Bandera de Pirata,Our flag,,,हमारा झंडा
_PASO_DOBLE_,Paso Doble,On the double,,,दोगुनी चाल
_EL_IMPERIO_PIRATA_,El Imperio Pirata,The pirate imperium,,,समुद्री डाकू साम्राज्य
_ATAQUE_CARMESI_,Ataque Carmesí,Red red attack,,,लाल लाल हमला
_AVANCE_DE_LA_CABALLERIA_,Avance de la Caballería,Cavalry front,,,घुड़सवार मोर्चा
_LA_BANDEROLA_,La banderola,The bad flag,,,खराब झंडा
_EL_ATAQUE_DE_LA_CABALLERIA_,El Ataque de la Caballería,Cavalry charge,,,घुड़सवार हमला
_MUCHOS_MARINES_DE_LOS_MANDARINES_,Muchos Marines de los mandarines,Lots of mandarin Marines,,,बहुत सारे मैंडरिन मरीन
_ATAQUE_FINAL_,Ataque Final,Final attack,,,अंतिम हमला
_TODO_O_NADA_,Todo o Nada,All in,,,सब कुछ दांव पर
